workload,arm,n_runs,n_correct,n_censored,n_failed,median_selected_latency_ms,bounded_oracle_ms,regret_pct,regret_vs_lfbo_pct,median_readiness_seconds,median_attempts,input_tokens_total,output_tokens_total,provider_requests
rope-1x4x2x512x128,hybrid_lfbo_llm,5,5,0,0,0.007807999849319458,0.006688000168651342,16.746406286260118,7.964597895174963,310.58826354000485,80,19445,2807,1
rope-1x4x2x512x128,contextual_rag_llm,5,5,0,0,0.008287999778985977,0.006688000168651342,23.92343854646284,14.60176495412091,102.2595652359887,26,19445,2817,1
rope-1x4x2x8192x128,lfbo,5,5,0,0,0.018015999346971512,0.01616000011563301,11.485143676100762,0.0,278.40238815394696,80,0,0,0
rope-1x4x2x8192x128,llm,5,5,0,0,0.019231999292969704,0.01616000011563301,19.00989576333525,6.749555895174919,129.80744729901198,26,19470,3013,1
rope-1x4x2x8192x128,hybrid_lfbo_llm,5,5,0,0,0.01913600042462349,0.01616000011563301,18.4158433644535,6.216702476958336,468.13357886497397,80,19470,3037,1
rope-1x4x2x8192x128,contextual_rag_llm,5,5,0,0,0.01929599978029728,0.01616000011563301,19.405938380102718,7.104798399878587,142.0186247220263,26,19470,3067,1
softmax-4096x1024,lfbo,5,5,0,0,0.009568000212311745,0.009344000369310379,2.397258499015842,0.0,121.3486168050149,80,0,0,0
softmax-4096x1024,llm,5,5,0,0,0.009535999968647957,0.009344000369310379,2.0547901514236466,-0.33445069976703046,61.5636697569862,26,17135,4362,1
softmax-4096x1024,hybrid_lfbo_llm,5,5,0,0,0.009631999768316746,0.009344000369310379,3.082185227135459,0.6688916658117217,182.09595853299834,80,17135,4368,1
softmax-4096x1024,contextual_rag_llm,5,5,0,0,0.009535999968647957,0.009344000369310379,2.0547901514236466,-0.33445069976703046,67.32301780200214,26,22560,4772,1
softmax-4096x32768,lfbo,5,5,0,0,0.2526719868183136,0.2523519992828369,0.12680206076673972,0.0,140.0669607790187,80,0,0,0
softmax-4096x32768,llm,5,5,0,0,0.2526400089263916,0.2523519992828369,0.114130121565581,-0.012655891270207942,66.52703677499085,26,17135,4136,1
softmax-4096x32768,hybrid_lfbo_llm,5,5,0,0,0.2526719868183136,0.2523519992828369,0.12680206076673972,0.0,176.8424192169914,80,17135,4169,1
softmax-4096x32768,contextual_rag_llm,5,5,0,0,0.25248000025749207,0.2523519992828369,0.05072318627112882,-0.07598252708543862,77.04406609598664,26,22680,5391,1
softmax-4096x8192,lfbo,5,5,0,0,0.06630399823188782,0.06563200056552887,1.0238872205152516,0.0,151.40739593899343,80,0,0,0
softmax-4096x8192,llm,5,5,0,0,0.06639999896287918,0.06563200056552887,1.1701584451681013,0.1447887511332624,54.7200342839933,26,17135,4111,1
softmax-4096x8192,hybrid_lfbo_llm,5,5,0,0,0.06572800129652023,0.06563200056552887,0.1462712246528497,-0.8687212697990332,224.62213212699862,80,17135,4050,1
softmax-4096x8192,contextual_rag_llm,5,5,0,0,0.0658240020275116,0.06563200056552887,0.2925424493056994,-0.7239325186657819,63.678582271008054,26,22560,4709,1
swiglu-2048x2048,lfbo,5,5,0,0,0.01414399966597557,0.012736000120639801,11.055272707276309,0.0,90.34365110899671,80,0,0,0
swiglu-2048x2048,llm,5,5,0,0,0.017216000705957413,0.012736000120639801,35.17588365955948,21.71946487931391,49.35548224198283,26,15825,2785,1
swiglu-2048x2048,hybrid_lfbo_llm,5,5,0,0,0.01692800037562847,0.012736000120639801,32.9145745546529,19.683263400733942,165.67236271500587,80,15825,2904,1
swiglu-2048x2048,contextual_rag_llm,5,5,0,0,0.01708799973130226,0.012736000120639801,34.170850890694204,20.814480591431984,58.09531589198741,26,15825,2858,1
swiglu-4096x4096,lfbo,5,5,0,0,0.05052800104022026,0.04995200037956238,1.1531082965269057,0.0,114.46186364401365,80,0,0,0
swiglu-4096x4096,llm,5,5,0,0,0.0517439991235733,0.04995200037956238,3.5874414045370395,2.406582604336771,51.17977342300583,26,15825,2962,1
swiglu-4096x4096,hybrid_lfbo_llm,5,5,0,0,0.05183999985456467,0.04995200037956238,3.779627363581528,2.59657771400863,168.78982459401595,80,15825,2930,1
swiglu-4096x4096,contextual_rag_llm,5,5,0,0,0.05183999985456467,0.04995200037956238,3.779627363581528,2.59657771400863,60.05135318200337,26,15825,2880,1
swiglu-8192x8192,lfbo,5,5,0,0,0.18518400192260742,0.18432000279426575,0.4687495199889202,0.0,123.43863434100058,80,0,0,0
swiglu-8192x8192,llm,5,5,0,0,0.18483200669288635,0.18432000279426575,0.27777988870372194,-0.19007863857924967,57.6584163630032,26,15825,2878,1
swiglu-8192x8192,hybrid_lfbo_llm,5,5,0,0,0.1847040057182312,0.18432000279426575,0.2083349165277859,-0.2591996065496094,185.62617099800264,80,15825,2939,1
swiglu-8192x8192,contextual_rag_llm,5,5,0,0,0.18476800620555878,0.18432000279426575,0.24305740261576503,-0.22463912256442953,67.58556084200973,26,15825,2935,1
