workload,arm,repetition,random_seed,status,correct,selected_latency_ms,readiness_seconds,internal_selected_performance,incumbent_best_perf,attempted,provider_requests,input_tokens,output_tokens,tier,decision,evaluation_count,llm_attempts,lfbo_attempts
fp8_attention-2x4x2048x64,hybrid_lfbo_llm,1,1000,completed,True,3.713792085647583,155.5799221950001,3.657504081726074,3.657504081726074,80,1,4708,498,,BaselineSearch,66,26,54
fp8_attention-2x4x2048x64,hybrid_lfbo_llm,2,1001,completed,True,4.119391918182373,233.18961164099164,4.002016067504883,4.002016067504883,80,1,4708,531,,BaselineSearch,65,26,54
fp8_attention-2x4x2048x64,hybrid_lfbo_llm,3,1002,completed,True,1.9086400270462036,274.8852175179636,1.8873920440673828,1.8873920440673828,80,1,4708,523,,BaselineSearch,70,26,54
fp8_attention-2x4x2048x64,hybrid_lfbo_llm,4,1003,completed,True,3.3273279666900635,233.916768097959,3.2786240577697754,3.2786240577697754,80,1,4708,522,,BaselineSearch,68,26,54
fp8_attention-2x4x2048x64,hybrid_lfbo_llm,5,1004,completed,True,3.354864001274109,164.51313146698521,3.3575199842453003,3.3575199842453003,80,1,4708,499,,BaselineSearch,66,26,54
fp8_attention-2x4x2048x64,lfbo,1,1000,completed,True,3.711103916168213,171.89952410198748,3.6573760509490967,3.6573760509490967,80,0,,,,BaselineSearch,41,,
fp8_attention-2x4x2048x64,lfbo,2,1001,completed,True,4.122399806976318,152.59246242803056,3.9872000217437744,3.9872000217437744,80,0,,,,BaselineSearch,39,,
fp8_attention-2x4x2048x64,lfbo,3,1002,completed,True,1.9092799425125122,218.77475059597054,1.887328028678894,1.887328028678894,80,0,,,,BaselineSearch,42,,
fp8_attention-2x4x2048x64,lfbo,4,1003,completed,True,3.3281760215759277,142.72782808495685,3.277951955795288,3.277951955795288,80,0,,,,BaselineSearch,42,,
fp8_attention-2x4x2048x64,lfbo,5,1004,completed,True,4.102880001068115,115.39661451603752,3.988208055496216,3.988208055496216,80,0,,,,BaselineSearch,41,,
fp8_attention-2x4x2048x64,llm,1,1000,completed,True,3.3569759130477905,75.21101158601232,3.341792106628418,3.341792106628418,26,1,4708,486,,BaselineSearch,30,,
fp8_attention-2x4x2048x64,llm,2,1001,completed,True,3.3636319637298584,62.28135339397704,3.3607680797576904,3.3384801149368286,26,1,4708,504,,BaselineSearch,30,,
fp8_attention-2x4x2048x64,llm,3,1002,completed,True,1.9091359972953796,71.59437824098859,1.8869119882583618,1.8869119882583618,26,1,4708,556,,BaselineSearch,34,,
fp8_attention-2x4x2048x64,llm,4,1003,completed,True,3.3248320817947388,76.46958289004397,3.278815984725952,3.278815984725952,26,1,4708,513,,BaselineSearch,30,,
fp8_attention-2x4x2048x64,llm,5,1004,completed,True,4.107840061187744,47.287602967000566,3.9886399507522583,3.9886399507522583,26,1,4708,556,,BaselineSearch,28,,
fp8_attention-2x4x512x64,contextual_rag_llm,1,1000,completed,True,0.21249599754810333,70.44278592604678,0.21062399446964264,0.21062399446964264,26,1,4703,473,2,BaselineSearch,31,,
fp8_attention-2x4x512x64,contextual_rag_llm,2,1001,completed,True,0.2120639979839325,76.8390518000233,0.2107200026512146,0.2107200026512146,26,1,4703,514,2,BaselineSearch,33,,
fp8_attention-2x4x512x64,contextual_rag_llm,3,1002,completed,True,0.21241599321365356,68.62770906602964,0.21062399446964264,0.21062399446964264,26,1,4703,467,2,BaselineSearch,32,,
fp8_attention-2x4x512x64,contextual_rag_llm,4,1003,completed,True,0.2123199999332428,56.06486788101029,0.21052800118923187,0.21052800118923187,26,1,4703,510,2,BaselineSearch,31,,
fp8_attention-2x4x512x64,contextual_rag_llm,5,1004,completed,True,0.2126079946756363,66.76697417697869,0.2101760059595108,0.2101760059595108,26,1,4703,483,2,BaselineSearch,31,,
fp8_attention-2x4x512x64,hybrid_lfbo_llm,1,1000,completed,True,0.21251200139522552,148.14485469000647,0.21030400693416595,0.21030400693416595,80,1,4703,499,,BaselineSearch,69,26,54
fp8_attention-2x4x512x64,hybrid_lfbo_llm,2,1001,completed,True,0.21241599321365356,151.42422541003907,0.20960000157356262,0.20960000157356262,80,1,4703,489,,BaselineSearch,69,26,54
fp8_attention-2x4x512x64,hybrid_lfbo_llm,3,1002,completed,True,0.21251200139522552,242.26139964000322,0.21014399826526642,0.21014399826526642,80,1,4703,488,,BaselineSearch,70,26,54
fp8_attention-2x4x512x64,hybrid_lfbo_llm,4,1003,completed,True,0.21247999370098114,157.25886125402758,0.21014399826526642,0.21014399826526642,80,1,4703,520,,BaselineSearch,68,26,54
fp8_attention-2x4x512x64,hybrid_lfbo_llm,5,1004,completed,True,0.21239999681711197,143.13637317798566,0.2096640020608902,0.2096640020608902,80,1,4703,522,,BaselineSearch,67,26,54
fp8_attention-2x4x512x64,lfbo,1,1000,completed,True,0.15561600029468536,114.18554750498151,0.151296004652977,0.15043200552463531,80,0,,,,BaselineSearch,41,,
fp8_attention-2x4x512x64,lfbo,2,1001,completed,True,0.21238400042057037,89.68823829200119,0.21116800606250763,0.21116800606250763,80,0,,,,BaselineSearch,40,,
fp8_attention-2x4x512x64,lfbo,3,1002,completed,True,0.21254399418830872,192.41788263304625,0.21030400693416595,0.2043839991092682,80,0,,,,BaselineSearch,41,,
fp8_attention-2x4x512x64,lfbo,4,1003,completed,True,0.21247999370098114,82.87442416301928,0.21004800498485565,0.21004800498485565,80,0,,,,BaselineSearch,41,,
fp8_attention-2x4x512x64,lfbo,5,1004,completed,True,0.1475519984960556,88.65409784403164,0.14233599603176117,0.1366720050573349,80,0,,,,BaselineSearch,41,,
