kernel,workload_key,shapes,dtypes,arm,rep,ok,status,perf_ms,num_configs_tested,autotune_time_s,end_to_end_s,num_generations,num_compile_failures,num_accuracy_failures,tier
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,2,True,ok,2.0125340024630227,894,1560.1250332295895,1564.8566011833027,19,36,6,
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,0,True,ok,2.1008765231008115,530,1353.0749711124226,1368.958952379413,15,19,11,1
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,1,True,ok,2.080350637435913,712,1555.83800915163,1568.145111828111,17,13,6,1
helion_mamba2_chunk_scan_kernel,25b03aec2e31ceb5c67204335ef47d0ea1dd215aad5e3fdd4f28723dfac500cd,"((64, 8, 1, 256, 256), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256), (64, 2048, 1, 128), (64, 8, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,2,True,ok,2.0700377809240464,477,944.813155548647,956.5419200509787,9,11,6,1
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,0,True,ok,0.022331623938942908,1135,2271.722005067393,2274.749206537381,20,41,1,
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,1,True,ok,0.026568327485774344,1397,2841.74718052987,2848.6710120197386,20,25,8,
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,2,True,ok,0.021624361572650363,1613,2076.731044012122,2081.676346112974,20,79,0,
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,0,True,ok,0.02254369899673676,719,1356.1387700047344,1367.02195684053,20,8,1,1
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,1,True,ok,0.021589257137051652,665,1383.5974452449009,1395.6061923867092,18,10,8,1
helion_mamba2_chunk_scan_kernel,65af2b57d903fbf5d828d103ed11cf010ce78b396849bb42c749de57af99ddbe,"((1, 4, 1, 256, 256), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256), (1, 1024, 1, 128), (1, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,2,True,ok,0.02150697139224836,639,1259.36652349215,1274.0754625536501,15,7,6,1
helion_mamba2_chunk_scan_kernel,7a3961843feaf4a44068ccc8a4335acaa1be52056aff19be60b9abf69022f34a,"((64, 4, 1, 256, 256), (64, 1024, 64, 64), (64, 64, 4, 256), (64, 64, 4, 256), (64, 1024, 1, 128), (64, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,0,True,ok,1.0185145437717438,1189,1896.7764834482223,1902.6752055147663,20,24,21,
helion_mamba2_chunk_scan_kernel,7a3961843feaf4a44068ccc8a4335acaa1be52056aff19be60b9abf69022f34a,"((64, 4, 1, 256, 256), (64, 1024, 64, 64), (64, 64, 4, 256), (64, 64, 4, 256), (64, 1024, 1, 128), (64, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,1,True,ok,1.2400385729254109,640,1043.679919349961,1047.694974604994,12,14,8,
helion_mamba2_chunk_scan_kernel,7a3961843feaf4a44068ccc8a4335acaa1be52056aff19be60b9abf69022f34a,"((64, 4, 1, 256, 256), (64, 1024, 64, 64), (64, 64, 4, 256), (64, 64, 4, 256), (64, 1024, 1, 128), (64, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,2,True,ok,1.0233499314008134,810,1260.6617113947868,1264.4573112539947,13,13,4,
helion_mamba2_chunk_scan_kernel,7a3961843feaf4a44068ccc8a4335acaa1be52056aff19be60b9abf69022f34a,"((64, 4, 1, 256, 256), (64, 1024, 64, 64), (64, 64, 4, 256), (64, 64, 4, 256), (64, 1024, 1, 128), (64, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,0,True,ok,1.0855914179871722,364,974.5286414148286,988.7319654570892,6,3,13,1
helion_mamba2_chunk_scan_kernel,7a3961843feaf4a44068ccc8a4335acaa1be52056aff19be60b9abf69022f34a,"((64, 4, 1, 256, 256), (64, 1024, 64, 64), (64, 64, 4, 256), (64, 64, 4, 256), (64, 1024, 1, 128), (64, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,1,True,ok,1.1134372010827065,349,758.7565050460398,771.1384808216244,8,10,8,1
helion_mamba2_chunk_scan_kernel,7a3961843feaf4a44068ccc8a4335acaa1be52056aff19be60b9abf69022f34a,"((64, 4, 1, 256, 256), (64, 1024, 64, 64), (64, 64, 4, 256), (64, 64, 4, 256), (64, 1024, 1, 128), (64, 4, 64, 64, 128), (64,))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,2,True,ok,1.010386286856054,735,2014.009148111567,2027.436118459329,14,24,51,1
helion_mamba2_chunk_state_kernel,1f6ebf40bd998a7740af80023d0661d887a5e1f284d203d202baa1856d6183df,"((1, 1024, 1, 128), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,0,True,ok,0.012567234022463573,1249,1140.539954633452,1143.180354854092,18,64,45,
helion_mamba2_chunk_state_kernel,1f6ebf40bd998a7740af80023d0661d887a5e1f284d203d202baa1856d6183df,"((1, 1024, 1, 128), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,1,True,ok,0.010353174884971455,1431,1124.5781230507419,1126.6251533878967,20,105,45,
helion_mamba2_chunk_state_kernel,1f6ebf40bd998a7740af80023d0661d887a5e1f284d203d202baa1856d6183df,"((1, 1024, 1, 128), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,2,True,ok,0.009602000022520466,975,870.6328928172588,872.9738002279773,16,74,47,
helion_mamba2_chunk_state_kernel,1f6ebf40bd998a7740af80023d0661d887a5e1f284d203d202baa1856d6183df,"((1, 1024, 1, 128), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,0,True,ok,0.012346858706923815,847,795.1092342687771,806.1690198685974,11,62,24,1
helion_mamba2_chunk_state_kernel,1f6ebf40bd998a7740af80023d0661d887a5e1f284d203d202baa1856d6183df,"((1, 1024, 1, 128), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,1,True,ok,0.013299882703771193,983,1149.4605378462002,1160.6128554809839,16,88,34,1
helion_mamba2_chunk_state_kernel,1f6ebf40bd998a7740af80023d0661d887a5e1f284d203d202baa1856d6183df,"((1, 1024, 1, 128), (1, 1024, 64, 64), (1, 64, 4, 256), (1, 64, 4, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,2,True,ok,0.010068539130729796,900,1285.841865430586,1297.596959784627,20,148,32,1
helion_mamba2_chunk_state_kernel,8374c461994e8c2ae2ae38fa3a44ead6274b2a2caf707561b7dc9eb57c7974f6,"((64, 2048, 1, 128), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,0,True,ok,0.8399154931596182,786,932.8935117311776,936.1812034659088,12,63,33,
helion_mamba2_chunk_state_kernel,8374c461994e8c2ae2ae38fa3a44ead6274b2a2caf707561b7dc9eb57c7974f6,"((64, 2048, 1, 128), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,1,True,ok,0.8549247343563339,845,1033.5149416578934,1036.2651247214526,11,65,14,
helion_mamba2_chunk_state_kernel,8374c461994e8c2ae2ae38fa3a44ead6274b2a2caf707561b7dc9eb57c7974f6,"((64, 2048, 1, 128), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,2,True,ok,0.7916374277631077,727,1246.1504174331203,1249.2258284576237,16,92,25,
helion_mamba2_chunk_state_kernel,8374c461994e8c2ae2ae38fa3a44ead6274b2a2caf707561b7dc9eb57c7974f6,"((64, 2048, 1, 128), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,0,True,ok,0.8003848812995701,806,1409.2561614327133,1420.2438796097413,14,85,19,1
helion_mamba2_chunk_state_kernel,8374c461994e8c2ae2ae38fa3a44ead6274b2a2caf707561b7dc9eb57c7974f6,"((64, 2048, 1, 128), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,1,True,ok,0.8724657438769199,864,1429.0671450933442,1440.0864675678313,16,114,13,1
helion_mamba2_chunk_state_kernel,8374c461994e8c2ae2ae38fa3a44ead6274b2a2caf707561b7dc9eb57c7974f6,"((64, 2048, 1, 128), (64, 2048, 64, 64), (64, 64, 8, 256), (64, 64, 8, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",rag_lfbo,2,True,ok,0.7995519998970382,755,1392.8590590534732,1405.0053986608982,20,138,34,1
helion_mamba2_chunk_state_kernel,e61ad3559c56737ba4c56b068e5210ba8a2030afe809fec05771f0a087862545,"((64, 1024, 1, 128), (64, 1024, 64, 64), (64, 64, 4, 256), (64, 64, 4, 256))","('torch.float16', 'torch.float16', 'torch.float16', 'torch.float16')",lfbo,0,True,ok,0.4208633086165866,964,1467.5346119748428,1470.0449677016586,20,121,20,
